#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
Your clothes make me want to go to a 70s disco night.	OTHER	P(Your clothes make)	V(me want to go to a 70s disco night)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your voice is like a whisper.	OTHER	P(Your voice is like)	V(a whisper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as a ghost.	OTHER	P(You are as thin as)	V(a ghost)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You walk like someone who needs a rest.	ABUSE	P(You walk like)	V(someone who needs a rest)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your room is like a partly complete show room. 	OTHER	P(Your room is like)	V(a partly complete show room)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You make me feel like I went to manners school.	OTHER	P(You make me feel like)	V(I went to manners school)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your room is like a cesspit. 	ABUSE	P(Your room is like)	V(a cesspit)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your room is like a padded cell.	ABUSE	P(Your room is like)	V(a padded cell)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your conversations are like walking through treacle.	OTHER	P(Your conversations are like)	V(walking through treacle)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
You are as modern as the queen. 	OTHER	P(You are as modern as)	V(the queen)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your reaction reminds me of a drug user looking for heroine. 	ABUSE	P(Your reaction reminds me of)	V(a drug user looking for heroine)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
